Bank_Website,Bank,Company,Offer,Expire Date,Logo,CleanName
https://www.bankofamerica.com,Bank Of America,Walgreens,3%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63575128128.png,Walgreens
https://www.bankofamerica.com,Bank Of America,Lowe's,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63477128128.png,Lowes
https://www.bankofamerica.com,Bank Of America,Kate Spade Outlet,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63494128128.png,KateSpadeOutlet
https://www.bankofamerica.com,Bank Of America,GNC,3%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63518128128.png,GNC
https://www.bankofamerica.com,Bank Of America,HSN,2%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63560128128.png,HSN
https://www.bankofamerica.com,Bank Of America,Walmart,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63510128128.png,Walmart
https://www.bankofamerica.com,Bank Of America,Ruggable,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63492128128.jpeg,Ruggable
https://www.bankofamerica.com,Bank Of America,Kohl's,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63448128128.png,Kohls
https://www.bankofamerica.com,Bank Of America,Total Wine,2%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63556128128.png,TotalWine
https://www.bankofamerica.com,Bank Of America,Samsung,4%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63577128128.png,Samsung
https://www.bankofamerica.com,Bank Of America,Officedepot,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63435128128.png,Officedepot
https://www.bankofamerica.com,Bank Of America,Paulaschoice,15% was 5%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63586127127.png,Paulaschoice
https://www.bankofamerica.com,Bank Of America,Ace Hardware,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63462128128.png,AceHardware
https://www.bankofamerica.com,Bank Of America,Sam's Club,1%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63574128128.png,SamsClub
https://www.bankofamerica.com,Bank Of America,Neiman Marcus,4%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63568128128.png,NeimanMarcus
https://www.bankofamerica.com,Bank Of America,Nike,2%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63570128128.png,Nike
https://www.bankofamerica.com,Bank Of America,Dior Beauty,6%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63580128128.png,DiorBeauty
https://www.bankofamerica.com,Bank Of America,Zappos,6%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63432128128.png,Zappos
https://www.bankofamerica.com,Bank Of America,Bed Bath,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63426128128.png,BedBath
https://www.bankofamerica.com,Bank Of America,Petsmart,5%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63436128128.png,Petsmart
https://www.bankofamerica.com,Bank Of America,Bergdorf Goodman,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63519128128.jpeg,BergdorfGoodman
https://www.bankofamerica.com,Bank Of America,Finish Line,4%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63447128128.jpeg,FinishLine
https://www.bankofamerica.com,Bank Of America,Kiehl's,6%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63565128128.png,Kiehls
https://www.bankofamerica.com,Bank Of America,Lego,2%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63451128128.png,Lego
https://www.bankofamerica.com,Bank Of America,Bestbuy,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63514128128.png,Bestbuy
https://www.bankofamerica.com,Bank Of America,Stubhub,3%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63466128128.jpeg,Stubhub
https://www.bankofamerica.com,Bank Of America,Omaha Steaks,5%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63500128128.jpeg,OmahaSteaks
https://www.bankofamerica.com,Bank Of America,Home Depot,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63563128128.png,HomeDepot
https://www.bankofamerica.com,Bank Of America,Saks Off 5Th,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63540128128.png,SaksOff5Th
https://www.bankofamerica.com,Bank Of America,Tory Burch,4%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63474128128.png,ToryBurch
https://www.bankofamerica.com,Bank Of America,Adidas,5%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63562128128.png,Adidas
https://www.bankofamerica.com,Bank Of America,Ulta Beauty,3%,01/06/2025,https://toesimg.bankofamerica.com/deals?=63561128128.png,UltaBeauty
https://www.bankofamerica.com,Bank Of America,Shutterfly,1%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63525128128.png,Shutterfly
https://www.bankofamerica.com,Bank Of America,H,3%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63483128128.png,H
https://www.bankofamerica.com,Bank Of America,Lg Electronics,3%,01/21/2025,https://toesimg.bankofamerica.com/deals?=63504128128.png,LgElectronics
https://www.bankofamerica.com,Bank Of America,Mac Cosmetics,5%,01/25/2025,https://toesimg.bankofamerica.com/deals?=63579128128.png,MacCosmetics
https://www.bankofamerica.com,Bank Of America,Giftcards,2%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63508128128.png,Giftcards
https://www.bankofamerica.com,Bank Of America,Coach,1%,01/18/2025,https://toesimg.bankofamerica.com/deals?=63567128128.png,Coach
https://www.bankofamerica.com,Bank Of America,Kohler,3%,12/31/2024,https://toesimg.bankofamerica.com/deals?=63490128128.png,Kohler
https://www.bankofamerica.com,Bank Of America,Vivino,$20,01/06/2025,https://toesimg.bankofamerica.com/deals?=63538128128.png,Vivino
https://www.bankofamerica.com,Bank Of America,Car Rental,Up to 15%,01/09/2025,https://toesimg.bankofamerica.com/deals?=63517128128.png,CarRental
https://www.bankofamerica.com,Bank Of America,Grocery,Up to 30%,01/09/2025,https://toesimg.bankofamerica.com/deals?=63292128128.png,Grocery
https://www.bankofamerica.com,Bank Of America,Ticketsmarter,8%,01/26/2025,https://toesimg.bankofamerica.com/deals?=63422128128.png,Ticketsmarter
https://www.bankofamerica.com,Bank Of America,Turo,$30,01/26/2025,https://toesimg.bankofamerica.com/deals?=63415128128.png,Turo
https://www.bankofamerica.com,Bank Of America,Pomp Flowers,$20.00,01/30/2025,https://toesimg.bankofamerica.com/deals?=63384128128.png,PompFlowers
https://www.bankofamerica.com,Bank Of America,ADT,$850,02/10/2025,https://toesimg.bankofamerica.com/deals?=63526128128.png,ADT
https://www.bankofamerica.com,Bank Of America,Rose Farmers,$39.99,02/10/2025,https://toesimg.bankofamerica.com/deals?=63528128128.png,RoseFarmers
https://www.americanexpress.com/en-us/account/login/,American Express,Lululemon,"Spend $100 or more, earn $20 back",01/26/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7mtCEAQ,Lululemon
https://www.americanexpress.com/en-us/account/login/,American Express,At Home,"Earn 2% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFrEAI,AtHome
https://www.americanexpress.com/en-us/account/login/,American Express,Hilton,"Spend $750 or more, earn $150 back",03/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7om4EAA,Hilton
https://www.americanexpress.com/en-us/account/login/,American Express,West Marine,"Spend $100 or more, earn $30 back",02/23/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oxHEAQ,WestMarine
https://www.americanexpress.com/en-us/account/login/,American Express,Urbanoutfitters,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzYEAQ,Urbanoutfitters
https://www.americanexpress.com/en-us/account/login/,American Express,American Express Venue Collection,"Earn 10% back on qualifying concessions purchases, up to $250 per calendar year",12/31/2026,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7e9AEAQ,AmericanExpressVenueCollection
https://www.americanexpress.com/en-us/account/login/,American Express,Wag,"Spend $60 or more, earn $25 back, up to 2 times (total of $50).",04/05/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7Q3WEAU,Wag
https://www.americanexpress.com/en-us/account/login/,American Express,Clinique,"Earn 6% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7odYEAQ,Clinique
https://www.americanexpress.com/en-us/account/login/,American Express,Ruggable,"Earn 3% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ockEAA,Ruggable
https://www.americanexpress.com/en-us/account/login/,American Express,Best Western,"Spend $500 or more, earn $100 back at select locations in the US and Canada",12/31/2024,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7mWBEAY,BestWestern
https://www.americanexpress.com/en-us/account/login/,American Express,Tecovas,"Spend $250 or more, earn $50 back",03/23/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001fmJ8IEAU,Tecovas
https://www.americanexpress.com/en-us/account/login/,American Express,Aldo Shoes,"Earn 5% back on purchases, up to a total of $250",01/01/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7pFmEAI,AldoShoes
https://www.americanexpress.com/en-us/account/login/,American Express,Officesupply,"Spend $75 or more, earn $20 back",01/31/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001SeC7KEAV,Officesupply
https://www.americanexpress.com/en-us/account/login/,American Express,Jared,"Spend $500 or more, earn $100 back",02/15/2025,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nAzEAI,Jared
