Company,Logo URL,Offer,Expire Date,Bank Name
keurig,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ktkEAA,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Thirsty Lion,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7m9TEAQ,"Spend $50 or more, earn $10",02/01/2025,American Express
Vans,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k2NEAQ,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
ContactsDirect,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001OwzaXEAR,"Spend $100 or more, earn $20 back",01/31/2025,American Express
theartofshaving,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oegEAA,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Solo Stove,https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001fSDkpUAG,"Spend $250 or more, earn $50 back",04/30/2025,American Express
iherb,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lEdEAI,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
verabradley,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lD1EAI,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Hollywood Feed - Pet Food & Supplies,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001SflIZEAZ,"Spend $60 or more, earn $20 back",04/02/2025,American Express
tnuck,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzJEAQ,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
"GlassesUSA - Eyeglasses, Sunglasses and Contacts Lenses",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJEGxEAO,"Spend $100 or more, get $20 back",01/08/2025,American Express
mattressfirm,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oZWEAY,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
heydude,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lEnEAI,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
champion,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lE4EAI,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
"HarryandDavid - Gift Baskets, Fruit & Food Gifts",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lCcEAI,"Spend $75 or more, earn $15 back",12/31/2024,American Express
loccitane,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzTEAQ,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Avocado Green Mattress,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJLCXEA4,"Spend $500 or more, earn $100 back",03/31/2025,American Express
bissell,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lExEAI,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
lg,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7obhEAA,"Earn 4% back on purchases, up to a total of $250",01/01/2025,American Express
Sur La Table,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7KMnEAM,"Spend $50 or more, earn $10 back",01/20/2025,American Express
"EstéeLauder - Makeup, Skincare + Fragrances",https://www.aexp-static.com/amexoffers/images/logos/00P3Z00001UiUhwUAF,"Spend $75 or more, earn $15 back",12/31/2024,American Express
rugsusa,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7l0HEAQ,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
Rosetta Stone - Lifetime Subscription,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001ZTdH9EAL,"Spend $195 or more, earn $45",04/18/2025,American Express
thredUP - Online Consignment and Thrift Store,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001CjH0SEAV,"Spend $80 or more, earn $20 back",04/15/2025,American Express
Turo - Car Sharing Marketplace,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001kIVHoEAO,"Spend $150 or more, earn $30 back",04/03/2025,American Express
eberjey,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lDVEAY,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
Ariat International,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001ZVXtWEAX,"Spend $100 or more, earn $20 back",03/06/2025,American Express
Pacsun,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7jJ9EAI,"Spend $50 or more, earn $10 back",12/31/2024,American Express
Teleflora - Flowers arranged & delivered by local florists,https://www.aexp-static.com/amexoffers/images/logos/00P5b000017BjIHEA0,"Spend $15 or more, earn $15 back, up to 10 times (total of $150).",01/31/2025,American Express
Melin - Performance Headwear,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7OMyEAM,"Spend $50 or more, earn $20 back",01/04/2025,American Express
"LoveShackFancy - Floral, feminine fashion & beauty for women",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001ZWGfBEAX,"Spend $250 or more, earn $50 back",01/15/2025,American Express
Zales - Engagement and Fine Jewelry,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7owdEAA,"Spend $500 or more, earn $100 back",01/27/2025,American Express
electronics.sony,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oelEAA,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
snakeriverfarms,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oczEAA,"Earn 2% back on purchases, up to a total of $250",01/01/2025,American Express
"Milk Bar - Holiday Cakes, Cookies & Pies Shipped Nationwide",https://www.aexp-static.com/amexoffers/images/logos/00P5b00000y8u4REAQ,"Spend $25 or more, earn $5 back, up to 2 times (total of $10).",12/31/2024,American Express
Ugg,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k28EAA,"Earn 3% back on purchases, up to a total of $250",01/01/2025,American Express
kiwico,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kz9EAA,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
FragranceNet,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kE7EAI,"Spend $125 or more, earn $25 back, up to 2 times (total of $50).",02/21/2025,American Express
GotPrint,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nsJEAQ,"Spend $200 or more, earn $40 back",02/18/2025,American Express
eventticketscenter,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lD6EAI,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Caesars Rewards Select Destinations,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lFMEAY,"Spend $200 or more, earn $40 back",12/29/2024,American Express
Saucony – Running Shoes & Gear,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7RJdEAM,"Spend $120 or more, earn $20 back",02/28/2025,American Express
bobbibrowncosmetics,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7lE9EAI,"Earn 8% back on purchases, up to a total of $250",01/01/2025,American Express
BetterHelp,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7h7fEAA,"Earn 20% back on purchases, up to a total of $50",01/21/2025,American Express
kohler,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7obmEAA,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
store.metmuseum.org,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7kzdEAA,"Earn 2% back on purchases, up to a total of $250",01/01/2025,American Express
Swarovski,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001cJ1o0EAC,"Spend $250 or more, earn $50 back",02/19/2025,American Express
"Ocean Prime - AZ, CA, IN, PA, TX locations",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7jUvEAI,"Spend $125 or more, earn $25",12/30/2024,American Express
NFLShop,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001CiXnVEAV,"Spend $100 or more, get $20 back, up to 2 times (total of $40).",02/16/2025,American Express
discovery+,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7e8qEAA,"Spend $4.99 or more, get $4.99 back monthly, for up to 3 months",12/31/2024,American Express
Emergency Assistance Plus,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ntbEAA,"Spend $209 or more, earn 30% back",02/28/2025,American Express
Johnston and Murphy,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7k2IEAQ,"Earn 6% back on purchases, up to a total of $250",01/01/2025,American Express
Fontainebleau Las Vegas,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7XhwEAE,"Spend $1,000 or more, earn $200 back",12/31/2024,American Express
beyondyoga,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7obIEAQ,"Earn 5% back on purchases, up to a total of $250",01/01/2025,American Express
Rover,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7dbOEAQ,"Spend $25 or more, earn $5 back",12/31/2024,American Express
Knix - Intimates & Loungewear,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7ml4EAA,"Spend $100 or more, earn $20 back, up to 2 times (total of $40).",12/31/2024,American Express
"Quince - Apparel, Accessories & Home Furnishing",https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7X39EAE,"Spend $175 or more, get $40 back",12/31/2024,American Express
TRAFALGAR - Tour Packages & Vacations,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7nd2EAA,"Spend $1,000 or more, earn $200 back",05/22/2025,American Express
Paragon Sports,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7oR4EAI,"Spend $50 or more, earn $10 back",01/25/2025,American Express
Good American,https://www.aexp-static.com/amexoffers/images/logos/00P5b00001l7of5EAA,"Spend $100 or more, earn $20 back",03/01/2025,American Express
